,title,price,link
0,-,-,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
1,"Fastlane Comic~Issue #1~1994 ~SIGNED BY RAMIREZ~196/1,<wbr>000~Illustrate<wbr>d",US $35.00,https://www.ebay.com/itm/285047616752?hash=item425e2974f0:g:pfwAAOSw6sRjfCYL&amdata=enc%3AAQAIAAAAwPmk7etwiS%2FCGWloDyZbzBHXTmpnU%2BMO%2Fda8ZdFgb67M2RRM9qL7CxBDnnWr41ZnX0H%2Bxvdq6XQHttSxyfpUymFeiP6iUE2nS9Und6fmqWd4a%2FOs0Uvbx51jYT%2BjiKStes88rWcIvXGUb%2FwVJWb%2B43zIKxRIDDzfmV08BaKUz21yjfaPoPDEk2gv4MpqZ4FNHkJfboYJHriL3fGjibtdvwJHnxO%2BwOAtkxJrzRpXPKq1B%2F8X0ZN9gtBAby%2BXuBGLjQ%3D%3D%7Ctkp%3ABlBMUJjvx8u3Yg
2,Comic Books DC + Marvel Etc. Hardback Hardcover + TPB Trade Paperback BIG CHOICE,GBP 3.00,https://www.ebay.com/itm/125868094786?epid=225569144&hash=item1d4e52b542:g:DrQAAOSwXQ1kMFfF&amdata=enc%3AAQAIAAAA4KyC5gregkIAiqEsA%2BkVlvhoeH0q%2F0OwAcbDMf1T%2BiWSD2IfwhnNSZKdIqCSYouCmxrYt7MisnMXXpzB86BfXJHn0yLmjVQTbUaCHIlKDnKJX0lfXwVjHl6NXrDaADV1ERehTY4nY8QI7ScYZQBZ5SagP14n8GS6yk0E0CBjxs9zs1RTwVVTn2xAd9M6KRM6OPaaAYuK6p76sHjY0nswTCGb57I9jttOv0ybhFsp2Du%2FbirAj9XuvJ6xeTrsGRRCjwb3PgxrvV80CVSpfVBhNdo0YMCs4gqCChtJ2elOpUxH%7Ctkp%3ABk9SR5rvx8u3Yg
3,Huge Prime 25 Comic Book Lot- Marvel And Dc Only- Free Shipping! Vf+ To Nm+ All,US $35.00,https://www.ebay.com/itm/333741744649?hash=item4db48ee209:g:G9wAAOSwK~9e4kxl&amdata=enc%3AAQAIAAAAwH75J32ycAQjhr%2F5yITLpI1czVs2S0SJH1eWpko1N%2BsKE2C%2BYSv1hdq8intAVU6TvyCMwnWlDFXa7Bi0bP4HMkNuKIdR0xqpvL0w28xt%2BgZGzn7VHbSTjl3az03tiv5uhhC3M%2F2yTNfoKPj%2B%2BVFGeq0cZpCKcA7sUfXQEsp2SrM%2FMuAICfZ%2B1gMGOo%2F40PxyfuDKN43yP8tfN3tZ9iCe6DIA%2Bvgv0SigM6bH8fVzPB4MtWvZ0tI83lsPgfR78Kg9ew%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
4,Airboy Volumes 1-8,US $24.99,https://www.ebay.com/itm/364378830179?hash=item54d6abb563:g:ZF4AAOSw1kxksctI&amdata=enc%3AAQAIAAAAwMxQiC5N5cIvp2h2jYQdyQtTLfGJ76qk9sv2IvBMYBbkCUnOB4vuwZtMezb%2FcOeawnDlNhAsX%2F0bejSrKu6y4INwXMLP2UQOd9W7BvA6OqhggT3VlxzPwRoUG2yoBQN2sd4CGjQmfIrAtzmwAohXKgPF%2FqaXasUwb6feOzUKQzMFxxOz%2FGIZ93amX7bZmg76UoGCQaw576XyeHccjmrjdOKU076aRACTcjJ3LWjkopGwRtb3ZWOuJmlGuwVpTaYRVw%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
5,"HUGE 25 COMICS BOOK LOT-MARVEL, DC, INDIES- FREE Shipping! VF+ to NM+ ALL",US $25.00/ea,https://www.ebay.com/itm/333663785100?hash=item4dafe9508c:g:wcgAAOSw6fpiQ0y5&amdata=enc%3AAQAIAAAAwMdoUHXEKajLLQreWkHLsd1d%2BUf0ZSoJNuZ0Bn4RFiLby7lex8POYvYDefAh7bJYXk6EaYAyNwnlUf23ihVTguFUI15yixgXRrSvy0bkr%2FGvCghQZ3532nPhRcidWQ%2FL%2BPbrQQByd%2BCweOQbBFjHHgDIr%2FRh%2FLl3K4L20wuAEvf5LLYwr5eEE1IpEE%2BzLBWuWi9gR68UGl95y1wBjtw6JIICRsGvbo1nEwu45VOz734AoeWFdF%2FW1P2fE3OOxJy1Pw%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
6,LOT of 100 Random Comics from a Comic Book Shop - Modern Era,US $49.99,https://www.ebay.com/itm/166210926881?hash=item26b2f17921:g:C7QAAOSwSEZa3psE&amdata=enc%3AAQAIAAAAwH%2FOts8%2BF5VukTnPf9qm7emyJ2k1lKt7bs%2B%2F55AqpJNJDYHo%2BHpWM8kd%2BUanS8akRmdq%2FhfOYbLec%2B13OvZkpVSlyzdmSfdTtO6KGkrAi1l0zyXpvekUkvpscSeUTJ1HZmzBGfTZ0wkzx1ocp31lS3I6YDcu4M9HzQV82nXzR36BnTTT5GNmVwKPows5N4DOWvga%2FruD1xEYFgbzreAw9hb3xH5VNd4dYnzADe9gWw9pr44jOCcaMVrOrQ2Abmv8Cw%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
7,Silver Surfer Comic Lot #12-82 Partial Run (47 Books) HIGH GRADE 9.6 9.8 CGC IT!,US $102.00,https://www.ebay.com/itm/334966985663?hash=item4dfd9693bf:g:XmsAAOSwNNZklMpU&amdata=enc%3AAQAIAAAAwLDkbpdsrX5Q%2FMsoHsy36Won2ijIpcir1KVV8mOuHyCXUCVEGPfGDKc66l7yQ9C4msSKY6BaVJplbH6Ul9Hx9yLgvIatpFUUxqXlK8yTVyNaI0Jwb480Xw42GUGg0xm7EbQbn3RzF2yYASabpXyrgKaq4xuP4lup9qgGD3UY%2FGI8s2he8KfDgR%2F7RUOTS58BviBQrjimY4EoTcsMUCaTPobrJVUOL%2Fs63Mpbw9jPkbay0C5BgXF6%2FCj1o1gJj1xSyw%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
8,Prime Comic Book Lot Marvel Only (See Description),US $24.99/ea,https://www.ebay.com/itm/275863382856?hash=item403abd2b48:g:8nsAAOSw73JkZ27s&amdata=enc%3AAQAIAAAA4NwQM%2BPOSGp%2F5s8x%2BtfA5aPWkJNfZb%2FXCmayyRMubrrXhS2oL%2BVHNoTcaFj5lN8G6swaTt1MaNLNf3Yv9M7PHVR9iBDbjRO0yRRiuEB%2FrXlLeL0AcI%2F44reiZvilXrOvvmfAgxrQ8whxkMZtpmeu2X3Ci9Giu0p%2Bv9hRF0Y1mayfjuSi5do2qg5JIsx8aklCPKnSCZKQKGRzUgLGPY7wiSwG2f7Jc6e7PLlyHVYQey7J%2Fl18YBtR6mX0F47nOMowixht5JoGxfxhgeacpP2mWWkSDVr7%2FYgQaxOAimnvSbe2%7Ctkp%3ABk9SR5rvx8u3Yg
9,DAREDEVIL #168 MID GRADE 1ST APP ELEKTRA,US $15.50,https://www.ebay.com/itm/134671322823?hash=item1f5b094ec7:g:BIYAAOSw9DZktEme&amdata=enc%3AAQAIAAAAwDTiMH9aGtoYz7B%2FNGSt2MmyrIlX3XP72QAF1T7eh5oCMaKckSmtyk8jOxE8BoK3MH9T1HM3UwhJAkLE74Mb6TpQKlzFjKIJel%2FaKTSGKxFmw7CF7cQy%2FVnNjnj%2FpCdzrywy6dI2o3VXYVxnGRXCrVbSiJdN7xQVn3cB8PvQhskFl9Wh9h4FptE5OzM%2FDpWHpbSYnLQmJHCWmbR6US1qwSr%2Bhy1eOn1f0VDZ0uCiUuL1UEqzLAk8PFUoHxp9IFjWiA%3D%3D%7Ctkp%3ABk9SR5rvx8u3Yg
